example_id                                                              | status  | run_time        |
./spec/jobs/whatsapp_delivery_job_spec.rb[1:1:2]                        | passed  | 0.02096 seconds |
./spec/jobs/whatsapp_delivery_job_spec.rb[1:1:3]                        | passed  | 0.02042 seconds |
./spec/jobs/whatsapp_delivery_job_spec.rb[1:1:4]                        | passed  | 0.01008 seconds |
./spec/jobs/whatsapp_delivery_job_spec.rb[1:1:5]                        | passed  | 0.02316 seconds |
./spec/jobs/whatsapp_delivery_job_spec.rb[1:1:6]                        | passed  | 0.01888 seconds |
./spec/jobs/whatsapp_delivery_job_spec.rb[1:1:7]                        | passed  | 0.01861 seconds |
./spec/jobs/whatsapp_delivery_job_spec.rb[1:1:8]                        | passed  | 0.00714 seconds |
./spec/jobs/whatsapp_delivery_job_spec.rb[1:1:9:1]                      | passed  | 0.52412 seconds |
./spec/jobs/whatsapp_delivery_job_spec.rb[1:1:9:2]                      | passed  | 0.52313 seconds |
./spec/mailers/briefing_mailer_spec.rb[1:1]                             | passed  | 0.29784 seconds |
./spec/mailers/export_mailer_spec.rb[1:1:1]                             | passed  | 0.24711 seconds |
./spec/mailers/export_mailer_spec.rb[1:1:2]                             | passed  | 0.25776 seconds |
./spec/mailers/export_mailer_spec.rb[1:2:1]                             | passed  | 0.25479 seconds |
./spec/mailers/export_mailer_spec.rb[1:2:2]                             | passed  | 0.25023 seconds |
./spec/mailers/export_mailer_spec.rb[1:3:1]                             | passed  | 0.244 seconds   |
./spec/mailers/integration_mailer_spec.rb[1:1:1]                        | passed  | 0.25274 seconds |
./spec/mailers/integration_mailer_spec.rb[1:1:2]                        | passed  | 0.25309 seconds |
./spec/mailers/integration_mailer_spec.rb[1:1:3]                        | passed  | 0.25035 seconds |
./spec/mailers/integration_mailer_spec.rb[1:1:4]                        | passed  | 0.25073 seconds |
./spec/mailers/integration_mailer_spec.rb[1:2:1]                        | passed  | 0.25117 seconds |
./spec/mailers/integration_mailer_spec.rb[1:2:2]                        | passed  | 0.24965 seconds |
./spec/mailers/reminder_mailer_spec.rb[1:1:1]                           | passed  | 0.50844 seconds |
./spec/mailers/reminder_mailer_spec.rb[1:1:2]                           | passed  | 0.5121 seconds  |
./spec/mailers/reminder_mailer_spec.rb[1:1:3]                           | passed  | 0.50796 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:1]                               | passed  | 0.24749 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:2]                               | passed  | 0.24498 seconds |
./spec/mailers/user_mailer_spec.rb[1:2:1]                               | passed  | 0.24387 seconds |
./spec/mailers/user_mailer_spec.rb[1:2:2]                               | passed  | 0.24386 seconds |
./spec/mailers/user_mailer_spec.rb[1:3:1]                               | passed  | 0.25672 seconds |
./spec/mailers/user_mailer_spec.rb[1:3:2]                               | passed  | 0.2489 seconds  |
